query	expected_idx	doc_0	doc_1	doc_2	doc_3
A man is doing trick with play cards.	0	A man is performing a card trick.	The yellow dog is running on the dirt road.	Three men are jumping off a wall.	A white cow with big ears looking into the camera.
The lady peeled the potatoe.	2	The men are trying to make some money.	A man in a maroon bathing suit swings on a rope on a lake.	A woman is peeling a potato.	My recommendation is not to say anything, and do the best you can.
A woman is slicing some tofu.	1	A man is peeling an onion.	A woman is cutting a block of tofu into small cubes.	A girl is taking a photo.	At least one of the three women is talking to the others.
Someone typed on a keyboard.	0	Someone is typing.	Iran says capable of jamming foes' communication systems	Two women in a sailboat.	Russia detains suspected Islamist militants in Moscow raid
A cheetah is running behind its prey.	1	Tropical storm warnings for Southeast coast	A cheetah chases prey on across a field.	Obama to visit Korean DMZ	The man is playing the guitar.
A woman and man are dancing in the rain.	2	A man is peeling an onion.	You are not required to file a tax return in Canada if you have no taxable income.	A man and woman are dancing in rain.	The men are trying to make some money.
Two men are fistfighting in a ring.	1	Oklahoma wildfires destroy homes - in pictures	Two men fistfight in a ring.	China FM hosts senior ASEAN officials	It's not just a good idea, it's an excellent idea.
A person wipes butter on a tray.	1	China's economic growth rebounds to 7.8% in latest quarter	A person is buttering a tray.	The woman is skating in the park.	A man is crawling.
A woman is stabbing a potato with a fork.	2	A woman is playing violin.	A dog jumps over a hurdle.	A woman is puncturing a potato with a fork.	A group of kids are having a sleepover.
A boy is playing a key-board.	2	A woman plays the clarinet.	Black and white lamb with tag in right ear.	A little boy is playing a keyboard.	Yes, you should talk to your professor.
A woman plays the flute.	3	Black and white lamb with tag in right ear.	Supreme Court to hear corporate human rights case	You don't need sauce at all.	A woman is playing the flute.
A group of people are sweeping water out of a house.	2	Romney shifts focus to Santorum ahead caucuses	This is a part answer to your question	People are sweeping water out of a house.	A woman is applying eye shadow.
A man plays a guitar.	2	A man is riding a motorcycle.	A cat sitting on sand looking up at the camera.	A man is playing a guitar.	To my knowledge, there's no time requirement.
A woman is climbing a cliff.	3	But Lawtey is the first entire prison to take that path.	It's much better to ask.	A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department.	A woman is climbing a rock face.
A polar bear is running towards a group of walruses.	3	There is a child with a ball	A woman taking her own photo from above.	A man is moon-walking across a store.	A polar bear is chasing a group of walruses.
A man is riding a horse by a creek.	1	A person is mixing a pot.	A man is riding a horse.	A woman is preparing shrimp to cook.	A person is slicing a potato.
A man is playing a musical keyboard.	3	Day begins amid panic	A man is cutting a mat.	Australian politicians lament over Nelson Mandela's death	A man is playing a keyboard piano.
A man plays a trumpet.	3	The crates are full of hardback copies of "Harry Potter and the Order of the Phoenix."	A woman is peeling a potato.	A person is doing very well on their skateboard.	A man is playing the trumpet.
The man is eating.	2	The crates are full of hardback copies of "Harry Potter and the Order of the Phoenix."	Saying "thanks, I don't have any questions at the moment."	A man is eating food.	Other than that you don't have a tax issue.
A little boy hits a golf ball.	0	The little boy swung at the golf ball.	They can, but the way to do it depends on what you have available.	A man is cooking.	Australian politicians lament over Nelson Mandela's death
A person is slicing onions.	2	Ukraine Refuses to Act Against Russian 'Provocation'	It depends on how it's used.	Someone is slicing an onion.	Two women in a sailboat.
A woman is dicing some peeled potatoes cut into thick strips.	1	A man is talking.	A woman is chopping a peeled potato into slices.	Two dolphins jumping into the water.	One idea is cleaning the coffee residue from the coffee pot.
A man pours rice into a pot.	2	My recommendation is not to say anything, and do the best you can.	A man is talking.	A man is putting rice in a bowling pot.	UK urges countries over Syria aid
A person is scrubbing a zucchini.	0	A woman is scrubbing a zucchini with a vegetable brush.	This is a difficult one.	A man is cutting a trunk with an axe.	You don't have equipments/facilities to do research in B.
A cat gets stuck on a moving ceiling fan.	1	Charges over dog attack on police	A cat is swinging on a fan.	A man and woman kissing in front of a crowd of people.	Oklahoma wildfires destroy homes - in pictures
A lady mixed up a meat mixture in bowl.	0	A woman is stirring meat in a bowl.	A woman is slicing some leaves.	The person is making a blanket.	The man is holding a skunk.
A moped in front of steps of ruins.	0	A moped in front of ruins.	At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.	A girl wearing green twists something in her hands.	There are a lot of ways that could go poorly for you.
A man sleeps with a baby in his lap.	1	A man is talking.	A man asleep in a chair holding a baby.	There is a child with a ball	A person hanging from a rocky cliff.
Two dogs and one cat sitting on couch.	0	Two dogs and a cat resting on a couch.	A man is peeling a carrot.	Ocean liner close to coast with houses in the background.	Yes, you should talk to your professor.
A bicycle is parked by a shop.	0	A bicycle is parked outside a bookstore.	A boy is talking to a giant dog.	Kurds see Turkey impeding Islamic State fight	It's a good idea to do both.
Young couple sitting on a black couch.	3	Point is: know what you want and don't be afraid to ask for it.	A man is firing a rifle.	A guy is peeling a potato.	Young couple sitting on couch.
Two green and white trains sitting on the tracks.	3	The answer to both questions is: Yes.	A man is turning foods.	A black and white dog looking at the camera.	Two green and white trains are sitting on the train track.
A grey cat lying on a wooden table.	1	Black and white lamb with tag in right ear.	A grey cat laying on a dining table.	I think it's a bad idea.	Waiting for the next president
a close up head of an ostrich.	2	Death Toll Rises to 84 in Pakistan Floods	A dog rolls on the ground.	A close up of an ostrich face.	The old woman in shorts and a white t-shirt is standing on a path watching children play.
Green and white bird perched on tree branch.	0	Bird with a green head and white chest perched on a tree branch.	They can, but the way to do it depends on what you have available.	You should, but you don't have to.	No it is not.
